,ID,Year,Sector,Subsector,City,County,Total_Emissions,Biogenic_CO2_Emissions,CO2_Emissions,Methane_Emissions,Nitrous_Oxide_Emissions,HFCs_Emissions,PFCs_Emissions,SF6_Emissions,Fluorinated_Emissions,Geocoded_Location
0,1,2021,Metals,Aluminum Production,Ferndale,Whatcom,9411,0,1188,8222,1,0,0,0,0,POINT (-122.7055 48.8455)
1,2,2021,Supplier,Natural Gas Supplier,Spokane,Spokane,1085641,0,1084521,511,609,0,0,0,0,POINT (-122.7055 48.8455)
2,3,2021,Food Production,Other Food Products,Vancouver,Clark,14350,0,14335,7,8,0,0,0,0,POINT (-122.692 45.657037)
3,4,2017,Pulp and Paper,Kraft Mills,Camas,Clark,559483,386972,164003,7198,1310,0,0,0,0,POINT (-122.40843 45.584271)
4,5,2017,Wood Products,Lumber Mills,Port Angeles,Clallam,40810,40272,0,77,461,0,0,0,0,POINT (-123.518642 48.103425)
5,6,2016,Wood Products,Lumber Mills,Mount Vernon,Skagit,10017,6055,3878,13,71,0,0,0,0,POINT (-122.443028 48.451642)
6,7,2014,Chemicals,Other Chemicals,Elma,Grays Harbor,21231,0,21209,10,12,0,0,0,0,POINT (-123.382316 46.995459)
7,8,2015,Chemicals,Other Chemicals,Longview,Cowlitz,47827,0,47827,0,0,0,0,0,0,POINT (-122.982847 46.137218)
8,9,2021,Pulp and Paper,Kraft Mills,Wallula,Walla Walla,775594,568917,191332,14498,847,0,0,0,0,POINT (-118.9184 46.10396)
9,10,2020,Pulp and Paper,Kraft Mills,Tacoma,Pierce,1108691,965097,137925,1051,4618,0,0,0,0,POINT (-122.421765 47.260953)
10,11,2015,Petroleum Systems,Petroleum Refineries,Tacoma,Pierce,139259,0,137379,1425,455,0,0,0,0,POINT (-122.394952 47.256813)
11,12,2013,Pulp and Paper,Other Pulp and Paper,Yakima,Yakima,9810,0,9800,5,5,0,0,0,0,POINT (-120.513015 46.604058)
12,13,2020,Pulp and Paper,Other Pulp and Paper,Sumner,Pierce,11583,0,11570,6,7,0,0,0,0,POINT (-122.239474 47.210641)
13,14,2013,Manufacturing,Transportation Industry,Renton,King,19420,0,19400,9,11,0,0,0,0,POINT (-122.211346 47.498257)
14,15,2014,Pulp and Paper,Other Pulp and Paper,Spokane,Spokane,27842,17801,9793,39,209,0,0,0,0,POINT (-117.279323 47.688295)
15,16,2019,Minerals,Glass Production,Kalama,Cowlitz,22845,0,22828,8,9,0,0,0,0,POINT (-122.866241 46.031656)
16,17,2021,Food Production,Fruit Products,Selah,Yakima,15073,0,15058,7,8,0,0,0,0,POINT (-120.52755 46.64992)
17,18,2020,Food Production,Dairy Products,Sunnyside,Yakima,40732,0,40690,19,23,0,0,0,0,POINT (-120.015675 46.30058)
18,19,2021,Food Production,Other Food Products,Kent,King,12492,0,12479,6,7,0,0,0,0,POINT (-122.237648 47.436276)
19,20,2016,Manufacturing,Transportation Industry,Everett,Snohomish,76192,0,76112,36,44,0,0,0,0,POINT (-122.276987 47.918622)
20,21,2019,Metals,Other Metals,Moses Lake,Grant,16403,0,16386,8,9,0,0,0,0,POINT (-119.200383 47.138359)
21,22,2012,Power Plants,Electrical Transmission and Distribution,Bellevue,King,12271,0,0,0,0,0,0,12271,0,POINT (-122.19454 47.61345)
22,23,2014,Waste,Landfills,Graham,Pierce,57749,0,0,57749,0,0,0,0,0,POINT (-122.292799 46.972405)
23,24,2019,Natural Gas Systems,Natural Gas Local Distribution Companies,Spokane,Spokane,5463,0,0,0,0,0,0,5463,0,POINT (-117.388514 47.673486)
24,25,2016,Food Production,Fruit Products,Prosser,Benton,17640,0,17622,8,10,0,0,0,0,POINT (-119.73397 46.21842)
25,26,2014,Manufacturing,Building Products,Tacoma,Pierce,45664,0,45616,22,26,0,0,0,0,POINT (-122.394869 47.269558)
26,27,2013,Government,Education,Pullman,Whitman,60797,0,60732,29,36,0,0,0,0,POINT (-117.151481 46.728702)
27,28,2020,Power Plants,Natural Gas Turbine Plants,Mount Vernon,Skagit,152007,0,151848,72,87,0,0,0,0,POINT (-122.435 48.4553)
28,29,2012,Food Production,Dairy Products,Lynden,Whatcom,17342,0,17324,8,10,0,0,0,0,POINT (-122.451915 48.947567)
29,30,2017,Wood Products,Lumber Mills,Bingen,Klickitat,57787,56682,348,109,648,0,0,0,0,POINT (-121.468688 45.713913)
30,31,2020,Government,National Security,Silverdale,Kitsap,20092,0,20069,10,13,0,0,0,0,POINT (-122.696926 47.699284)
31,32,2016,Natural Gas Systems,Natural Gas Transmission/Compression,Goldendale,Klickitat,20352,0,17293,3049,10,0,0,0,0,POINT (-120.799267 45.771216)
32,33,2018,Waste,Landfills,Longview,Cowlitz,20542,0,0,20542,0,0,0,0,0,POINT (-122.905601 46.107229)
33,34,2013,Pulp and Paper,Other Pulp and Paper,Spokane,Spokane,28038,18131,9501,159,247,0,0,0,0,POINT (-117.279323 47.688295)
34,35,2016,Pulp and Paper,Kraft Mills,Wallula,Walla Walla,806311,645182,145497,13423,2209,0,0,0,0,POINT (-118.9184 46.10396)
35,36,2020,Power Plants,"Other Power, Heating, or Cooling Plants",Seattle,King,63602,0,63536,30,36,0,0,0,0,POINT (-122.340179 47.6068)
36,37,2017,Wood Products,Lumber Mills,Mount Vernon,Skagit,10531,7441,2987,16,87,0,0,0,0,POINT (-122.443028 48.451642)
37,38,2018,Livestock,Cattle Feedlots,Burbank,Walla Walla,29518,0,0,2166,27352,0,0,0,0,POINT (-118.90629 46.133131)
38,39,2015,Power Plants,Natural Gas Turbine Plants,Elma,Grays Harbor,1170620,0,1169432,542,646,0,0,0,0,POINT (-123.48 46.9688)
39,40,2018,Power Plants,Natural Gas Turbine Plants,Ferndale,Whatcom,302530,0,302223,140,167,0,0,0,0,POINT (-122.685533 48.828707)
40,41,2019,Natural Gas Systems,Natural Gas Transmission/Compression,Washougal,Clark,25817,0,21465,4340,12,0,0,0,0,POINT (-122.36516 45.63236)
41,42,2013,Pulp and Paper,Kraft Mills,Camas,Clark,675348,535823,129412,8093,2020,0,0,0,0,POINT (-122.40843 45.584271)
42,43,2015,Government,Education,Ellensburg,Kittitas,12838,0,12822,7,9,0,0,0,0,POINT (-120.544513 47.003202)
43,44,2018,Natural Gas Systems,Natural Gas Transmission/Compression,Sumas,Whatcom,90783,0,86855,3879,49,0,0,0,0,POINT (-122.2214 49.001)
44,45,2012,Chemicals,Fertilizer Production,Kennewick,Benton,146927,0,7759,1,139167,0,0,0,0,POINT (-119.017218 46.165957)
45,46,2018,Wood Products,Other Wood Products,Spanaway,Pierce,18812,16101,2493,32,186,0,0,0,0,POINT (-122.318981 47.062059)
46,47,2021,Petroleum Systems,Petroleum Refineries,Anacortes,Skagit,1296106,0,1290703,2159,3244,0,0,0,0,POINT (-122.564845 48.493816)
47,48,2014,Wood Products,Lumber Mills,Darrington,Snohomish,93894,92656,0,178,1060,0,0,0,0,POINT (-121.597608 48.262797)
48,49,2015,Food Production,Potato Products,Othello,Adams,87687,0,45538,42123,26,0,0,0,0,POINT (-119.176389 46.837778)
49,50,2018,Wood Products,Lumber Mills,Centralia,Lewis,42447,41887,0,81,479,0,0,0,0,POINT (-122.995433 46.756413)
50,51,2016,Supplier,Natural Gas Supplier,Spokane,Spokane,997947,0,996917,470,560,0,0,0,0,POINT (-122.995433 46.756413)
51,52,2013,Food Production,Potato Products,Warden,Grant,31968,0,31935,15,18,0,0,0,0,POINT (-119.063631 46.970469)
52,53,2018,Food Production,Potato Products,Warden,Grant,29915,0,29884,14,17,0,0,0,0,POINT (-119.063631 46.970469)
53,54,2015,Power Plants,Natural Gas Turbine Plants,Goldendale,Klickitat,551706,0,551145,256,305,0,0,0,0,POINT (-120.833 45.8114)
54,55,2016,Manufacturing,Building Products,Tacoma,Pierce,48825,0,48775,23,27,0,0,0,0,POINT (-122.394869 47.269558)
55,56,2017,Food Production,Dairy Products,Lynden,Whatcom,17625,0,17606,9,10,0,0,0,0,POINT (-122.451915 48.947567)
56,57,2020,Petroleum Systems,Other Petroleum Systems,Hoquiam,Grays Harbor,18305,0,18286,9,10,0,0,0,0,POINT (-123.853622 46.968196)
57,58,2019,Chemicals,Other Chemicals,Kalama,Cowlitz,57004,0,56945,27,32,0,0,0,0,POINT (-122.85698 46.02191)
58,59,2021,Natural Gas Systems,Natural Gas Transmission/Compression,Bickleton,Klickitat,16535,0,14323,2204,8,0,0,0,0,POINT (-120.08083 45.849504)
59,60,2018,Power Plants,Electrical Transmission and Distribution,Vancouver,Clark,19350,0,0,0,0,0,0,19350,0,POINT (-122.658608 45.661178)
60,61,2021,Power Plants,Natural Gas Turbine Plants,Vancouver,Clark,737163,0,736414,342,407,0,0,0,0,POINT (-122.724806 45.64958)
